epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.269,0.02837,0.26887,0.45706,0.86335,0.56312,0.67541,0.4382,0.02374,0.22663,0.43473,0.0696949,0.00291325,0.00291325
2,673.344,0.0276,0.26345,0.45365,0.86702,0.56156,0.67449,0.43829,0.02374,0.22632,0.43451,0.0392688,0.00582055,0.00582055
3,1019.77,0.02754,0.2661,0.45243,0.86608,0.55468,0.66409,0.42567,0.0243,0.23366,0.43623,0.00882671,0.00871177,0.00871177
4,1197.19,0.02803,0.27509,0.45339,0.85134,0.55151,0.65426,0.40838,0.02561,0.24504,0.43855,0.0086977,0.0086977,0.0086977
5,1405.93,0.02808,0.27535,0.45256,0.8591,0.54416,0.66062,0.41484,0.02526,0.24955,0.43743,0.00867359,0.00867359,0.00867359
6,1694.02,0.02802,0.27695,0.45182,0.85977,0.54742,0.6612,0.4229,0.02526,0.24991,0.43821,0.00864949,0.00864949,0.00864949
7,2053.07,0.02806,0.2774,0.45353,0.86846,0.55309,0.66195,0.41574,0.02602,0.2542,0.44,0.00862539,0.00862539,0.00862539
8,2340.7,0.02808,0.27718,0.45409,0.86541,0.55279,0.64671,0.39942,0.02602,0.24976,0.44016,0.00860129,0.00860129,0.00860129
9,2626.26,0.02793,0.27522,0.45173,0.86104,0.55414,0.66658,0.42136,0.02499,0.24451,0.43649,0.00857719,0.00857719,0.00857719
10,2930.64,0.02784,0.27421,0.45198,0.86005,0.54052,0.6658,0.42583,0.02614,0.25132,0.44116,0.00855309,0.00855309,0.00855309
11,3228.34,0.02779,0.27461,0.4524,0.86055,0.55149,0.65454,0.41291,0.02592,0.24888,0.43933,0.00852898,0.00852898,0.00852898
12,3541.9,0.02787,0.27577,0.45204,0.87269,0.55116,0.66876,0.42286,0.02593,0.24626,0.43892,0.00850488,0.00850488,0.00850488
13,3848.58,0.02787,0.27601,0.45215,0.86672,0.54543,0.65979,0.41724,0.02499,0.24235,0.43709,0.00848078,0.00848078,0.00848078
14,4158.29,0.02789,0.27548,0.45104,0.86035,0.55536,0.66361,0.42238,0.02491,0.24159,0.43668,0.00845668,0.00845668,0.00845668
15,4560.83,0.02781,0.27465,0.4511,0.86432,0.55022,0.65177,0.41411,0.02494,0.24172,0.43657,0.00843258,0.00843258,0.00843258
16,4866.21,0.02758,0.27258,0.45111,0.85903,0.54669,0.65999,0.42074,0.0254,0.24366,0.4389,0.00840848,0.00840848,0.00840848
17,5168.45,0.02769,0.27367,0.45116,0.86668,0.55408,0.66103,0.41888,0.02534,0.24469,0.43763,0.00838437,0.00838437,0.00838437
18,5662.96,0.02759,0.27415,0.4503,0.86098,0.55154,0.65231,0.41324,0.02482,0.24063,0.43573,0.00836027,0.00836027,0.00836027
19,5983.06,0.02763,0.27342,0.45062,0.86046,0.55038,0.66743,0.42185,0.0252,0.2436,0.43687,0.00833617,0.00833617,0.00833617
20,6286.73,0.02765,0.27293,0.45095,0.85571,0.55749,0.6532,0.40863,0.02583,0.2465,0.4381,0.00831207,0.00831207,0.00831207
21,6596.51,0.02762,0.27298,0.45099,0.86651,0.55802,0.67164,0.42748,0.02499,0.24108,0.43612,0.00828797,0.00828797,0.00828797
22,6972.68,0.02769,0.27294,0.4499,0.86895,0.54872,0.64281,0.40556,0.02467,0.24284,0.43548,0.00826387,0.00826387,0.00826387
23,7275.94,0.02755,0.27311,0.45037,0.86624,0.54969,0.66052,0.42157,0.02516,0.23909,0.4375,0.00823976,0.00823976,0.00823976
24,7700.13,0.02758,0.27187,0.4486,0.85686,0.54449,0.65921,0.42159,0.02476,0.24126,0.43595,0.00821566,0.00821566,0.00821566
25,7997.24,0.02743,0.27163,0.44929,0.8706,0.55528,0.65858,0.41733,0.02499,0.23783,0.43663,0.00819156,0.00819156,0.00819156
26,8307.43,0.02719,0.26859,0.45001,0.86241,0.55951,0.66649,0.42526,0.02448,0.23526,0.43541,0.00816746,0.00816746,0.00816746
27,8669.07,0.02737,0.26949,0.44924,0.87052,0.55129,0.67155,0.4274,0.02496,0.24061,0.43595,0.00814336,0.00814336,0.00814336
28,8962.47,0.02735,0.27113,0.44975,0.86661,0.54847,0.65917,0.42251,0.02448,0.23516,0.4353,0.00811926,0.00811926,0.00811926
29,9272.94,0.02749,0.27148,0.44933,0.86522,0.5618,0.67204,0.43117,0.02437,0.23437,0.43474,0.00809515,0.00809515,0.00809515
30,9976.94,0.02747,0.27102,0.44844,0.86251,0.54852,0.66708,0.42873,0.02443,0.23593,0.43498,0.00807105,0.00807105,0.00807105
31,10297.4,0.02731,0.2701,0.44918,0.86754,0.55437,0.67279,0.43473,0.02426,0.2338,0.43455,0.00804695,0.00804695,0.00804695
32,10655.4,0.02737,0.27006,0.44929,0.86574,0.55449,0.65853,0.42148,0.02429,0.23353,0.43463,0.00802285,0.00802285,0.00802285
33,10944.8,0.02737,0.2703,0.44875,0.86305,0.56117,0.67228,0.43562,0.02383,0.23044,0.43337,0.00799875,0.00799875,0.00799875
34,11244.1,0.02713,0.26929,0.44875,0.86437,0.55804,0.67114,0.43207,0.02419,0.23277,0.43401,0.00797465,0.00797465,0.00797465
35,11552.3,0.02721,0.26914,0.44899,0.87149,0.5586,0.67074,0.42691,0.02484,0.23518,0.43549,0.00795054,0.00795054,0.00795054
36,11850.2,0.02722,0.26954,0.44984,0.85834,0.56345,0.67443,0.4344,0.02416,0.23049,0.4342,0.00792644,0.00792644,0.00792644
37,12159.5,0.02725,0.26954,0.44844,0.86854,0.55804,0.66921,0.43216,0.02396,0.22965,0.43374,0.00790234,0.00790234,0.00790234
38,12467,0.02729,0.27038,0.44883,0.86392,0.5571,0.66919,0.43546,0.02361,0.22796,0.43277,0.00787824,0.00787824,0.00787824
