epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.722,0.02078,0.21676,0.64208,0.88051,0.58668,0.72091,0.49887,0.02028,0.20977,0.63526,0.0671138,0.000332184,0.000332184
2,526.117,0.02064,0.2154,0.64204,0.88161,0.58678,0.71885,0.49636,0.02025,0.20913,0.63512,0.0341137,0.000665467,0.000665467
3,787.69,0.02065,0.21626,0.6421,0.88427,0.58642,0.71902,0.495,0.02055,0.2132,0.63603,0.00111349,0.00099855,0.00099855
4,1061.33,0.02125,0.22647,0.64504,0.88453,0.58013,0.71263,0.48815,0.02097,0.21933,0.63732,0.000999322,0.000999322,0.000999322
5,1312.18,0.02138,0.22765,0.64482,0.88265,0.59055,0.71431,0.48761,0.02081,0.21787,0.63737,0.000998795,0.000998795,0.000998795
6,1585.2,0.02153,0.22946,0.64468,0.88282,0.58212,0.70823,0.48158,0.02103,0.21967,0.63706,0.000998118,0.000998118,0.000998118
7,1833.27,0.02144,0.22812,0.64496,0.88013,0.58439,0.70978,0.48051,0.02107,0.21995,0.63727,0.00099729,0.00099729,0.00099729
8,2093.36,0.02153,0.22902,0.6458,0.88645,0.57856,0.7095,0.48652,0.02095,0.2201,0.6372,0.000996313,0.000996313,0.000996313
9,2343.19,0.02141,0.22838,0.64561,0.88353,0.58586,0.71097,0.48585,0.02078,0.21852,0.63726,0.000995186,0.000995186,0.000995186
10,2599.32,0.02141,0.22693,0.64538,0.88598,0.58038,0.71698,0.49134,0.02102,0.21913,0.63685,0.00099391,0.00099391,0.00099391
11,2852.95,0.02141,0.22864,0.64456,0.88144,0.58332,0.71144,0.48448,0.02095,0.21999,0.6369,0.000992485,0.000992485,0.000992485
12,3106.14,0.02145,0.22898,0.64405,0.87759,0.58838,0.71471,0.48768,0.02082,0.21827,0.63718,0.000990911,0.000990911,0.000990911
13,3359.68,0.02151,0.2277,0.64509,0.88011,0.57983,0.71027,0.48595,0.02085,0.218,0.63717,0.00098919,0.00098919,0.00098919
14,3613.72,0.02137,0.22703,0.64445,0.88011,0.58538,0.71268,0.48638,0.02083,0.2191,0.63702,0.000987322,0.000987322,0.000987322
15,3868.8,0.02159,0.2297,0.64537,0.88546,0.58108,0.71398,0.49022,0.02086,0.21828,0.63731,0.000985306,0.000985306,0.000985306
16,4123.59,0.02141,0.22961,0.64464,0.88312,0.58447,0.71533,0.49066,0.0207,0.21794,0.63637,0.000983144,0.000983144,0.000983144
17,4379.78,0.0215,0.22894,0.64428,0.88368,0.57318,0.70754,0.48125,0.02136,0.22218,0.6383,0.000980837,0.000980837,0.000980837
18,4633.54,0.02134,0.22807,0.6441,0.88138,0.58326,0.71412,0.48908,0.02087,0.2192,0.63723,0.000978385,0.000978385,0.000978385
19,4888.58,0.02155,0.22952,0.64548,0.88725,0.58479,0.71197,0.48753,0.02071,0.21892,0.63692,0.000975789,0.000975789,0.000975789
20,5141.25,0.02138,0.22857,0.64527,0.88364,0.587,0.71719,0.49033,0.02085,0.21854,0.63672,0.000973049,0.000973049,0.000973049
21,5395.8,0.02133,0.22675,0.6441,0.88333,0.5861,0.713,0.4877,0.02071,0.21803,0.63687,0.000970167,0.000970167,0.000970167
22,5651.8,0.02139,0.22813,0.64454,0.88186,0.58254,0.71262,0.48837,0.02077,0.21824,0.63739,0.000967144,0.000967144,0.000967144
23,5909.32,0.02133,0.2275,0.64425,0.88443,0.58789,0.71663,0.49052,0.0207,0.21682,0.63666,0.00096398,0.00096398,0.00096398
24,6168.23,0.02133,0.22733,0.64398,0.88999,0.58549,0.71789,0.49255,0.02069,0.21737,0.63707,0.000960676,0.000960676,0.000960676
25,6421.83,0.02134,0.22759,0.64404,0.88353,0.58495,0.70569,0.48213,0.02073,0.21647,0.63658,0.000957233,0.000957233,0.000957233
26,6673.63,0.02137,0.22733,0.64599,0.88091,0.58499,0.71167,0.48977,0.02062,0.21572,0.63696,0.000953653,0.000953653,0.000953653
27,6929.93,0.02134,0.22719,0.64436,0.88502,0.58382,0.71533,0.48992,0.0208,0.21731,0.63692,0.000949936,0.000949936,0.000949936
28,7185.4,0.02124,0.22699,0.64311,0.88518,0.58529,0.71807,0.49317,0.0207,0.2161,0.63631,0.000946084,0.000946084,0.000946084
29,7441.83,0.02135,0.2269,0.64326,0.88882,0.58197,0.70833,0.48638,0.02063,0.21462,0.63585,0.000942097,0.000942097,0.000942097
30,7692.15,0.02131,0.22725,0.64275,0.88333,0.58632,0.71509,0.49225,0.02049,0.21299,0.6358,0.000937978,0.000937978,0.000937978
31,7971.59,0.0211,0.22462,0.64226,0.88191,0.58432,0.71799,0.49675,0.02047,0.21359,0.63563,0.000933726,0.000933726,0.000933726
32,8222.71,0.02122,0.22636,0.6437,0.88062,0.58416,0.7115,0.4883,0.02061,0.21517,0.63634,0.000929344,0.000929344,0.000929344
33,8480.85,0.02131,0.227,0.64369,0.89005,0.58441,0.71969,0.49479,0.02057,0.21406,0.63641,0.000924833,0.000924833,0.000924833
34,8735.29,0.02128,0.22618,0.64476,0.87985,0.58371,0.71,0.48784,0.02047,0.21303,0.63571,0.000920194,0.000920194,0.000920194
35,8985.3,0.02116,0.2254,0.64334,0.89104,0.58355,0.71644,0.49352,0.02061,0.21372,0.63593,0.000915429,0.000915429,0.000915429
36,9236.82,0.02121,0.22642,0.6435,0.88737,0.58779,0.72236,0.49807,0.02038,0.21279,0.63507,0.000910539,0.000910539,0.000910539
37,9503.19,0.0213,0.22652,0.64478,0.88765,0.58864,0.71707,0.49254,0.02043,0.21163,0.63536,0.000905525,0.000905525,0.000905525
38,9775.31,0.02123,0.22573,0.6444,0.88668,0.58605,0.7209,0.49688,0.02052,0.21219,0.63618,0.00090039,0.00090039,0.00090039
39,10027.6,0.02113,0.22546,0.64315,0.88709,0.58241,0.7152,0.49223,0.02043,0.21185,0.63527,0.000895134,0.000895134,0.000895134
40,10285.2,0.02125,0.22551,0.64309,0.88518,0.58801,0.71707,0.49335,0.02033,0.21093,0.63563,0.00088976,0.00088976,0.00088976
41,10556.4,0.02114,0.22477,0.64416,0.88084,0.58817,0.71785,0.49604,0.02029,0.21027,0.63527,0.000884268,0.000884268,0.000884268
42,10806.3,0.02126,0.22605,0.64256,0.88449,0.58515,0.71873,0.49641,0.02035,0.21015,0.63533,0.000878661,0.000878661,0.000878661
43,11057.1,0.02121,0.22596,0.64355,0.88086,0.58744,0.72008,0.49648,0.02042,0.21058,0.63584,0.00087294,0.00087294,0.00087294
44,11310.9,0.02111,0.22448,0.64409,0.88414,0.58662,0.71875,0.49625,0.02031,0.20924,0.63501,0.000867107,0.000867107,0.000867107
45,11569.1,0.02113,0.22492,0.64425,0.88065,0.59028,0.71813,0.4941,0.0203,0.209,0.6348,0.000861164,0.000861164,0.000861164
46,11816.4,0.02113,0.22493,0.64281,0.8836,0.58856,0.71965,0.4968,0.02025,0.20892,0.63507,0.000855113,0.000855113,0.000855113
47,12066.3,0.02116,0.22443,0.64373,0.88265,0.58825,0.72095,0.49882,0.02024,0.20891,0.63544,0.000848955,0.000848955,0.000848955
48,12317.4,0.02109,0.22436,0.64229,0.87979,0.58996,0.72071,0.49842,0.02021,0.20874,0.63513,0.000842693,0.000842693,0.000842693
49,12589.7,0.02098,0.22364,0.64214,0.88826,0.58508,0.71939,0.49769,0.0202,0.20844,0.6348,0.000836327,0.000836327,0.000836327
50,12841.8,0.02101,0.22374,0.64296,0.88432,0.58728,0.72179,0.50033,0.02019,0.20765,0.63469,0.000829861,0.000829861,0.000829861
51,13119.2,0.02106,0.22415,0.64263,0.88613,0.58711,0.7202,0.49892,0.02013,0.20758,0.63464,0.000823296,0.000823296,0.000823296
52,13370.1,0.02101,0.22308,0.64394,0.88461,0.58603,0.71707,0.49523,0.02022,0.20781,0.6348,0.000816634,0.000816634,0.000816634
53,13633.7,0.02114,0.22528,0.64269,0.88806,0.58811,0.72067,0.49885,0.02016,0.20762,0.63466,0.000809877,0.000809877,0.000809877
54,13888.4,0.02104,0.22389,0.64317,0.88706,0.5852,0.72028,0.50021,0.02019,0.20754,0.63487,0.000803028,0.000803028,0.000803028
55,14161.4,0.02112,0.22426,0.64339,0.88647,0.58738,0.71948,0.49929,0.02007,0.20595,0.63453,0.000796088,0.000796088,0.000796088
56,14414.5,0.02098,0.22274,0.64331,0.88771,0.58587,0.71943,0.49952,0.02012,0.20707,0.63448,0.000789059,0.000789059,0.000789059
57,14689.4,0.0211,0.2232,0.64316,0.88395,0.58736,0.72164,0.50003,0.02011,0.20629,0.63449,0.000781944,0.000781944,0.000781944
58,14939.4,0.0211,0.22398,0.64214,0.88472,0.589,0.72038,0.49852,0.02003,0.20584,0.63443,0.000774744,0.000774744,0.000774744
59,15213.5,0.02094,0.22287,0.64215,0.88805,0.58845,0.7232,0.50319,0.01995,0.20561,0.63409,0.000767463,0.000767463,0.000767463
60,15484.9,0.02097,0.22304,0.64263,0.88505,0.5899,0.72231,0.50183,0.01996,0.20535,0.63415,0.000760101,0.000760101,0.000760101
61,15738.1,0.02091,0.22181,0.64265,0.88628,0.59069,0.72424,0.50391,0.01993,0.20461,0.63403,0.000752663,0.000752663,0.000752663
62,15991,0.02096,0.22216,0.64135,0.88783,0.58716,0.72474,0.50544,0.01994,0.20476,0.63397,0.000745148,0.000745148,0.000745148
63,16243.9,0.02085,0.22175,0.64279,0.88632,0.5898,0.72256,0.50206,0.01994,0.20435,0.63399,0.000737561,0.000737561,0.000737561
64,16491.1,0.0208,0.22122,0.64163,0.88514,0.59033,0.72131,0.50181,0.01986,0.2043,0.63363,0.000729903,0.000729903,0.000729903
65,16742.6,0.02093,0.22191,0.64194,0.88775,0.58969,0.72157,0.50186,0.01984,0.2041,0.63372,0.000722176,0.000722176,0.000722176
66,16995.2,0.02103,0.22357,0.64286,0.88374,0.59077,0.72186,0.50269,0.01984,0.20395,0.63363,0.000714384,0.000714384,0.000714384
67,17245.4,0.02072,0.2207,0.64221,0.88759,0.59018,0.72301,0.50346,0.01985,0.20379,0.63382,0.000706527,0.000706527,0.000706527
68,17495.6,0.02089,0.22208,0.64299,0.88529,0.59186,0.72447,0.50512,0.01976,0.20323,0.63343,0.00069861,0.00069861,0.00069861
69,17750.3,0.02095,0.22226,0.64243,0.88745,0.59186,0.72581,0.50588,0.01978,0.20311,0.63355,0.000690634,0.000690634,0.000690634
70,18005,0.0209,0.22156,0.64204,0.88515,0.59082,0.72437,0.50515,0.01975,0.20247,0.63334,0.000682601,0.000682601,0.000682601
71,18257.5,0.02075,0.22005,0.64226,0.88466,0.59094,0.72358,0.50505,0.01974,0.20253,0.6332,0.000674514,0.000674514,0.000674514
72,18509.8,0.02096,0.22222,0.64234,0.88562,0.59053,0.72476,0.50617,0.01973,0.20267,0.63318,0.000666375,0.000666375,0.000666375
73,18759.8,0.02086,0.22108,0.6425,0.88481,0.59187,0.725,0.50547,0.01975,0.20239,0.63336,0.000658188,0.000658188,0.000658188
74,19012.4,0.02078,0.2202,0.64118,0.88721,0.59195,0.72538,0.50559,0.01973,0.20187,0.63335,0.000649954,0.000649954,0.000649954
75,19264.6,0.0208,0.21943,0.64172,0.88761,0.59278,0.72779,0.50718,0.01974,0.20175,0.63351,0.000641676,0.000641676,0.000641676
76,19520.6,0.02075,0.21971,0.64214,0.8861,0.59273,0.72681,0.50695,0.0197,0.20157,0.63339,0.000633356,0.000633356,0.000633356
77,19781.8,0.02082,0.22012,0.64142,0.88689,0.59272,0.72733,0.50724,0.01967,0.20124,0.63339,0.000624998,0.000624998,0.000624998
78,20034.4,0.02063,0.21861,0.64067,0.88804,0.59318,0.72793,0.50768,0.01967,0.2012,0.6334,0.000616603,0.000616603,0.000616603
79,20286.6,0.02074,0.21954,0.64209,0.88674,0.59308,0.72671,0.50711,0.01964,0.20086,0.6333,0.000608174,0.000608174,0.000608174
