epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.401,0.01825,0.20208,0.62813,0.89998,0.59175,0.73239,0.51127,0.01981,0.21532,0.63311,0.0671065,0.000332258,0.000332258
2,548.221,0.0183,0.2032,0.62812,0.90311,0.5954,0.73188,0.51119,0.01983,0.21535,0.63331,0.034106,0.00066514,0.00066514
3,779.976,0.01852,0.20711,0.6291,0.90033,0.58898,0.7288,0.50613,0.02046,0.22341,0.6355,0.00110374,0.000996218,0.000996218
4,990.663,0.01947,0.22056,0.63328,0.89052,0.58566,0.71633,0.4906,0.02104,0.2349,0.63762,0.00099391,0.00099391,0.00099391
5,1207.91,0.01972,0.22473,0.63404,0.88969,0.58155,0.71444,0.48645,0.0211,0.23392,0.63761,0.00098919,0.00098919,0.00098919
6,1417.19,0.01972,0.22382,0.63335,0.89306,0.58289,0.70278,0.47836,0.02085,0.23454,0.6367,0.000983144,0.000983144,0.000983144
7,1636.84,0.01967,0.22382,0.63305,0.89425,0.58778,0.71711,0.489,0.02079,0.23018,0.63607,0.000975789,0.000975789,0.000975789
8,1918.39,0.01968,0.22328,0.63342,0.88641,0.58892,0.71648,0.49116,0.02084,0.23127,0.63708,0.000967144,0.000967144,0.000967144
9,2157.18,0.01968,0.22312,0.63319,0.894,0.58939,0.72003,0.495,0.02068,0.23177,0.6368,0.000957233,0.000957233,0.000957233
10,2389.06,0.01964,0.22391,0.63309,0.89858,0.59042,0.72316,0.49485,0.02069,0.23098,0.63578,0.000946084,0.000946084,0.000946084
11,2616.75,0.01963,0.22343,0.63322,0.90094,0.58876,0.71979,0.49104,0.02093,0.23346,0.63685,0.000933726,0.000933726,0.000933726
12,2826.65,0.01963,0.22319,0.63326,0.89566,0.5907,0.71551,0.48704,0.02071,0.2305,0.63643,0.000920194,0.000920194,0.000920194
