epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.874,0.01795,0.21699,0.73215,0.90442,0.59864,0.73769,0.51826,0.01953,0.23059,0.73866,0.0670985,0.000332338,0.000332338
2,431.34,0.01806,0.21988,0.7333,0.90271,0.59602,0.73644,0.51667,0.01957,0.23025,0.73888,0.0340985,0.000665621,0.000665621
3,696.918,0.01825,0.22266,0.7331,0.90135,0.59788,0.73651,0.51107,0.02026,0.24252,0.74127,0.00109821,0.000998704,0.000998704
4,946.647,0.01932,0.23954,0.7382,0.89421,0.58837,0.72323,0.49814,0.02077,0.25798,0.74362,0.000999322,0.000999322,0.000999322
5,1201.41,0.01976,0.24687,0.73982,0.88794,0.58856,0.71785,0.49111,0.0211,0.25562,0.74363,0.000998795,0.000998795,0.000998795
6,1467.46,0.01972,0.24438,0.74065,0.89492,0.58827,0.7145,0.48765,0.02079,0.25296,0.74241,0.000998118,0.000998118,0.000998118
7,1730.61,0.01981,0.24546,0.7401,0.8979,0.58719,0.72029,0.49136,0.02101,0.25534,0.74345,0.00099729,0.00099729,0.00099729
8,2005.86,0.01984,0.24663,0.7406,0.89705,0.58837,0.72128,0.49228,0.02099,0.25619,0.74366,0.000996313,0.000996313,0.000996313
9,2292.79,0.01979,0.24555,0.73945,0.89271,0.59204,0.72374,0.49435,0.02073,0.25469,0.74213,0.000995186,0.000995186,0.000995186
10,2573.45,0.01989,0.24712,0.74097,0.89095,0.58237,0.71268,0.4892,0.02101,0.25351,0.7432,0.00099391,0.00099391,0.00099391
11,2856.78,0.01975,0.24555,0.73982,0.89365,0.58796,0.71144,0.48502,0.02099,0.2548,0.74377,0.000992485,0.000992485,0.000992485
12,3138.63,0.01973,0.24532,0.73996,0.89705,0.59195,0.71711,0.48915,0.02075,0.25033,0.74189,0.000990911,0.000990911,0.000990911
13,3422.26,0.01967,0.24405,0.7391,0.89115,0.58715,0.70928,0.48101,0.02091,0.25446,0.7429,0.00098919,0.00098919,0.00098919
14,3637.7,0.01976,0.24537,0.7408,0.89311,0.59011,0.71842,0.49407,0.02061,0.24928,0.74214,0.000987322,0.000987322,0.000987322
15,3833.29,0.01981,0.24666,0.74013,0.89321,0.58608,0.71382,0.48628,0.02095,0.25482,0.7436,0.000985306,0.000985306,0.000985306
16,4031.24,0.01967,0.24536,0.73984,0.889,0.58759,0.71473,0.4894,0.02075,0.25198,0.74202,0.000983144,0.000983144,0.000983144
17,4230.48,0.0197,0.24485,0.74086,0.89037,0.58779,0.71612,0.49163,0.02092,0.2502,0.74323,0.000980837,0.000980837,0.000980837
18,4428.04,0.01968,0.24425,0.74015,0.89661,0.58495,0.71405,0.49191,0.02055,0.24734,0.74148,0.000978385,0.000978385,0.000978385
19,4623.04,0.01964,0.24382,0.7394,0.88598,0.58506,0.71713,0.4901,0.02082,0.25052,0.74317,0.000975789,0.000975789,0.000975789
20,4822.21,0.01969,0.24498,0.73986,0.89493,0.59223,0.72179,0.49653,0.02054,0.24912,0.74248,0.000973049,0.000973049,0.000973049
21,5020.67,0.01971,0.24502,0.74065,0.89259,0.58725,0.71966,0.49416,0.02077,0.25224,0.74309,0.000970167,0.000970167,0.000970167
22,5217.36,0.01967,0.24405,0.74057,0.89258,0.58978,0.72142,0.49778,0.02052,0.24798,0.74173,0.000967144,0.000967144,0.000967144
23,5429.06,0.01973,0.2449,0.7404,0.89335,0.58763,0.71389,0.48986,0.02063,0.25001,0.74264,0.00096398,0.00096398,0.00096398
24,5627.4,0.01984,0.24505,0.73989,0.89295,0.58944,0.71838,0.49505,0.02048,0.24735,0.7415,0.000960676,0.000960676,0.000960676
25,5823.98,0.01968,0.24479,0.73964,0.89815,0.59075,0.72319,0.49847,0.02052,0.24685,0.74253,0.000957233,0.000957233,0.000957233
26,6023.4,0.01966,0.244,0.7389,0.89288,0.58695,0.71598,0.49328,0.02056,0.24839,0.7421,0.000953653,0.000953653,0.000953653
27,6220.83,0.01961,0.24384,0.74011,0.893,0.59177,0.72157,0.49591,0.02041,0.24638,0.7414,0.000949936,0.000949936,0.000949936
28,6424.81,0.01963,0.24354,0.73902,0.8915,0.58908,0.71787,0.4944,0.02036,0.24503,0.74073,0.000946084,0.000946084,0.000946084
29,6625.25,0.01966,0.24418,0.7389,0.89161,0.59087,0.71809,0.49267,0.02049,0.24463,0.74171,0.000942097,0.000942097,0.000942097
30,6824.61,0.01976,0.24532,0.73999,0.89945,0.58511,0.71968,0.49695,0.02054,0.24676,0.74159,0.000937978,0.000937978,0.000937978
31,7023.68,0.01984,0.2462,0.74069,0.8977,0.58934,0.71821,0.49227,0.02045,0.24569,0.7414,0.000933726,0.000933726,0.000933726
32,7223.44,0.01973,0.24463,0.73885,0.89397,0.59153,0.72434,0.49995,0.0203,0.24303,0.74113,0.000929344,0.000929344,0.000929344
