fitness,lr0,lrf,momentum,weight_decay,box,cls
0.4098,0.01,0.01,0.937,0.0005,0.2,0.5
0.41817,0.00976,0.01,0.937,0.0005,0.2,0.38481
0.37488,0.00963,0.01,0.6,0.0005,0.17112,0.46007
0.42064,0.00938,0.01,0.98,0.00056,0.1782,0.32364
0.41437,0.00989,0.01,0.937,0.0005,0.2,0.38215
0.41339,0.01361,0.01177,0.98,0.0005,0.18963,0.49511
0.41909,0.00894,0.01,0.98,0.00059,0.2,0.3068
0.41692,0.00939,0.01,0.9474,0.00054,0.1782,0.32617
0.41746,0.00993,0.01,0.95177,0.00055,0.2,0.39142
0.41239,0.00976,0.01067,0.92464,0.00053,0.2,0.37129
0.41803,0.00937,0.01001,0.98,0.00056,0.17849,0.32364
0.41532,0.01014,0.01022,0.98,0.00058,0.1782,0.32364
0.41835,0.00899,0.01309,0.98,0.00052,0.15935,0.40898
0.41978,0.00938,0.01101,0.98,0.0005,0.18025,0.32364
0.41645,0.00894,0.01015,0.98,0.0006,0.2,0.3068
0.41163,0.01016,0.01011,0.98,0.0006,0.1782,0.33058
0.41396,0.0092,0.01156,0.93256,0.0005,0.17488,0.32798
0.42005,0.0105,0.01,0.98,0.0005,0.16866,0.3309
0.40938,0.00851,0.01,0.91423,0.00059,0.2,0.26575
0.41536,0.00861,0.01101,0.98,0.0005,0.19706,0.33868
0.41835,0.00934,0.01101,0.98,0.0005,0.18074,0.32663
0.41749,0.00938,0.01,0.98,0.00059,0.17528,0.34441
0.41455,0.00931,0.01019,0.98,0.00056,0.17864,0.32364
0.41714,0.00938,0.01,0.94345,0.00056,0.16747,0.32043
0.41763,0.01014,0.01,0.98,0.00058,0.1782,0.3414
0.41459,0.00938,0.01117,0.94345,0.00051,0.17429,0.32364
0.41363,0.01087,0.0102,0.98,0.0005,0.17035,0.3309
0.41413,0.01211,0.01207,0.98,0.0005,0.14338,0.3478
0.41499,0.00911,0.01101,0.98,0.00054,0.17078,0.32206
0.41515,0.00897,0.01,0.98,0.00059,0.2,0.3068
0.41783,0.00978,0.01147,0.98,0.00058,0.1782,0.31894
0.41741,0.00661,0.01,0.98,0.00059,0.2,0.27843
0.41615,0.01038,0.01,0.95096,0.00057,0.14716,0.31707
0.4231,0.00877,0.01065,0.98,0.00061,0.2,0.28147
0.41618,0.01233,0.01041,0.97848,0.00058,0.18329,0.27581
0.42074,0.00986,0.01,0.98,0.00059,0.2,0.20688
0.41804,0.00938,0.01034,0.95272,0.00056,0.17182,0.31401
0.41338,0.00877,0.01064,0.96878,0.0006,0.19909,0.28548
0.41896,0.0105,0.01,0.98,0.0005,0.18526,0.3309
0.41735,0.01236,0.01121,0.98,0.0006,0.2,0.2
0.41247,0.00566,0.01084,0.98,0.0005,0.17115,0.22437
0.41863,0.00877,0.01071,0.98,0.0006,0.2,0.28287
0.41485,0.00875,0.01072,0.96913,0.00063,0.18633,0.28572
0.40918,0.00938,0.01099,0.89481,0.0005,0.18693,0.31978
0.41854,0.00855,0.01088,0.98,0.00061,0.2,0.29026
0.42165,0.00922,0.01,0.98,0.0007,0.2,0.2287
0.42254,0.00897,0.01064,0.98,0.00061,0.18952,0.27865
0.41524,0.01034,0.01272,0.98,0.0005,0.2,0.3314
0.41011,0.01,0.01,0.90703,0.00058,0.19012,0.20266
0.39288,0.00716,0.01065,0.83354,0.0007,0.2,0.30619
